brand,inbound_count,company_reply_count,resolved_pct,english_pct,avg_thread_length
AmazonHelp,154976,169840,100.3,95.0,1.59
AppleSupport,106623,106860,100.1,99.5,1.37
Uber_Support,55182,56270,100.2,100.0,1.4
SpotifyCares,41585,43265,100.4,100.0,1.35
AmericanAir,36457,36764,100.2,100.0,1.51
Delta,36134,42253,100.2,99.5,1.36
TMobileHelp,33837,34317,100.2,99.5,1.34
comcastcares,30369,33031,100.3,100.0,1.29
SouthwestAir,28285,28977,100.2,100.0,1.44
VirginTrains,26272,27817,100.4,100.0,1.72
Tesco,25282,38573,100.1,100.0,1.36
Ask_Spectrum,24976,25860,100.8,100.0,1.45
British_Airways,24084,29361,100.1,100.0,1.45
hulu_support,21468,21872,100.5,99.5,1.43
XboxSupport,20213,24557,105.4,100.0,1.62
sprintcare,20026,22381,100.6,100.0,1.41
AskPlayStation,18650,19098,100.1,100.0,1.6
ChipotleTweets,18565,18749,100.1,100.0,1.53
GWRHelp,18506,19364,100.3,100.0,1.71
sainsburys,17717,19466,100.1,100.0,1.52
UPSHelp,17601,17817,100.1,100.0,1.33
VerizonSupport,17534,17966,100.3,100.0,1.73
ATVIAssist,16879,17650,100.1,100.0,2.26
O2,15952,16212,100.1,100.0,1.62
Safaricom_Care,13881,16077,100.2,100.0,1.49
AskTarget,13135,13218,100.1,100.0,1.36
idea_cares,12887,15724,100.2,98.5,1.56
ArgosHelpers,11444,12174,100.2,100.0,1.55
AskLyft,11437,11809,100.1,100.0,1.25
AskPayPal,11181,11298,100.3,99.5,1.29
AirAsiaSupport,10740,12829,100.4,97.5,1.51
marksandspencer,10457,11504,100.3,100.0,1.48
SW_Help,10218,12231,100.6,100.0,1.81
BofA_Help,9299,12683,100.2,99.5,1.3
AskeBay,8755,9686,100.1,100.0,1.47
Morrisons,8526,10126,100.6,100.0,1.49
MicrosoftHelps,8461,11304,100.1,100.0,1.56
McDonalds,8404,8478,100.0,99.5,2.22
ChaseSupport,8356,8811,100.1,100.0,1.25
AirbnbHelp,8355,8875,100.6,100.0,1.39
AdobeCare,8207,9917,100.3,100.0,1.46
AskAmex,7952,11358,100.3,100.0,1.44
AldiUK,7624,8114,101.1,99.0,3.24
airtel_care,7442,9881,105.4,100.0,1.33
Ask_WellsFargo,7371,7578,100.1,99.0,1.24
AlaskaAir,7344,7478,100.2,100.0,1.53
CoxHelp,7284,7861,100.3,100.0,1.45
JetBlue,7167,8020,100.2,99.5,1.5
LondonMidland,6217,6822,100.4,100.0,1.8
GloCare,6161,6308,100.1,100.0,1.63
AzureSupport,5987,7565,107.1,100.0,1.49
DropboxSupport,4504,5954,100.1,99.5,1.29
GreggsOfficial,4452,4522,100.2,100.0,1.58
HPSupport,4410,7200,100.8,99.5,1.15
VirginAtlantic,4152,4318,101.1,100.0,1.68
TacoBellTeam,4077,4082,100.0,100.0,1.38
AskPapaJohns,3852,3908,100.3,100.0,1.36
nationalrailenq,3849,4444,101.9,100.0,1.67
CenturyLinkHelp,3533,3801,100.1,100.0,1.32
Postmates_Help,3323,3346,100.3,100.0,1.32
NikeSupport,3318,3468,100.2,100.0,1.73
AskCiti,2940,4081,100.1,100.0,1.26
DellCares,2782,5336,101.2,100.0,1.32
VirginAmerica,2773,2815,100.1,100.0,1.45
ATT,2628,2790,100.2,100.0,1.95
Walmart,2583,2643,100.3,100.0,1.19
askpanera,2150,2153,100.0,100.0,1.28
IHGService,2131,2643,100.2,100.0,1.31
KFC_UKI_Help,2095,2103,100.2,100.0,1.32
TfL,1887,2243,100.5,100.0,1.39
GoDaddyHelp,1862,1965,100.3,100.0,1.41
ArbysCares,1852,1904,100.1,100.0,1.28
AsurionCares,1769,1898,100.3,100.0,1.58
NortonSupport,1731,2011,101.6,71.5,1.52
DoorDash_Help,1567,1581,100.1,100.0,1.3
sizehelpteam,1443,1482,100.1,100.0,1.46
Kimpton,1279,1339,100.2,99.5,1.48
VMUcare,1277,1381,100.3,100.0,1.51
DunkinDonuts,1276,1290,100.2,100.0,1.28
TwitterSupport,1257,1290,101.7,99.5,1.34
USCellularCares,1157,1177,100.3,100.0,1.66
SCsupport,1025,1329,100.1,99.5,1.48
AWSSupport,1019,1035,100.1,100.0,1.36
PandoraSupport,1017,1043,100.1,100.0,1.36
AskRBC,1000,1011,100.2,100.0,1.43
NeweggService,927,1079,100.3,100.0,1.36
AskVirginMoney,899,914,100.3,100.0,1.63
BoostCare,871,907,100.7,99.5,1.4
HiltonHelp,814,833,100.2,100.0,1.28
GooglePlayMusic,802,804,100.1,100.0,1.61
YahooCare,788,906,102.3,100.0,2.01
PearsonSupport,784,841,100.9,100.0,1.39
OPPOCareIN,783,879,104.2,100.0,1.55
MTNC_Care,730,784,100.8,100.0,1.52
asksalesforce,674,710,100.6,100.0,1.44
AskTigogh,650,715,100.3,100.0,1.53
MOO,589,630,100.8,100.0,1.34
ask_progressive,587,612,100.2,100.0,1.25
askvisa,561,709,100.0,99.0,1.23
AskSeagate,525,639,100.2,100.0,1.47
KeyBank_Help,515,555,100.6,100.0,1.45
AskRobinhood,428,432,100.5,100.0,1.34
mediatemplehelp,254,305,100.4,100.0,1.37
JackBox,252,266,100.4,100.0,1.48
AskDSC,210,210,100.0,100.0,1.14
OfficeSupport,188,218,103.2,100.0,1.49
CarlsJr,180,196,101.7,99.4,2.05
HotelTonightCX,133,152,100.0,100.0,1.25
