tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
472805,AzureSupport,False,Wed Nov 29 09:42:01 +0000 2017,@227598 We have a few troubleshooting tips that you could try to fix this issue. Have a look: https://t.co/JnrqFmZSqE ^SN,,472804
1391336,443599,True,Sat Oct 28 12:12:11 +0000 2017,"@azuresupport #azTechHelp Merhaba, server istediğimiz zaman kapatabiliyoruz peki açmak için de seçenek mevcutmudur?",1391335,
1354157,AzureSupport,False,Fri Oct 27 18:44:59 +0000 2017,"@435790 Hi, are you experiencing an issue we can assist with? ^JI",,1354158
2893577,AzureSupport,False,Tue Nov 28 14:49:49 +0000 2017,"@801979 Could you please direct message us with more information including your sub ID and region?  ^DY
 https://t.co/EYpi1mphGM",,2893578
2742668,768245,True,Mon Nov 20 17:50:38 +0000 2017,Why does my #ApplicationInsight live metrics not show anything? Everything is updated.  @AzureSupport https://t.co/IbPHjSnvWE,2742667,
1164001,393811,True,Mon Nov 06 17:15:07 +0000 2017,"@AzureSupport Thanks .. but this docs doesn't tell about Azure functions if it supports:
1) Roslyn (CSharpScript).
2) Dataflow pipelineand tpl.",1164000,1164002
1596557,AzureSupport,False,Tue Oct 17 09:19:21 +0000 2017,@342220 We understand the frustration. Our subscription team can look into this for you. ^FL,,1596555
985677,353623,True,Sat Oct 14 10:22:35 +0000 2017,@AzureSupport is there any other way to send you this err msg than twit ?,"985681,985682,985683",985674
99398,137802,True,Thu Nov 30 16:54:04 +0000 2017,@AzureSupport It's running in CC. https://t.co/0lzeWVHxj8,99397,99399
1666415,AzureSupport,False,Mon Nov 06 10:42:07 +0000 2017,@507655 We’d love to take a look with you. Could you direct message us with more information about your issue? ^BG,,1666416
194310,AzureSupport,False,Wed Oct 04 10:08:10 +0000 2017,"@161680 Hi Markus, can you refer to the comments on https://t.co/8uOraLwGd7 as there is a similar question  1 ^FC",194308,194311
1456133,457976,True,Thu Nov 02 19:25:52 +0000 2017,@AzureSupport When I try to upload the certificate for domain b the azure web app doesn’t give me any feedback.,,1456132
1709666,AzureSupport,False,Tue Nov 07 00:57:56 +0000 2017,@212335 Hi there. Could you please direct message us more details about the issue you are having?  ^SE,,1709667
187327,AzureSupport,False,Tue Oct 03 23:25:31 +0000 2017,@159950 We highly recommend removing personal information from a public tweet. Please DM with details. https://t.co/ObUanPWteA ^NA,,187328
