tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,intent_label,escalation_label,notes,sample_bucket
2514660,208637,True,Mon Oct 30 08:27:07 +0000 2017,@AzureSupport Thanks.,,2514659.0,portal_tools,escalate,Polite closing or courtesy message,short
387913,207815,True,Mon Oct 09 13:45:07 +0000 2017,@azuresupport #azhelp: could you please help? :),387911,,other,auto_handle,General technical assistance request,random
229934,170789,True,Tue Oct 03 13:08:34 +0000 2017,@AzureSupport here u go: https://t.co/YWbXf9Acwo,229933,229935.0,other,auto_handle,Customer follow-up or link submission,random
2888674,800963,True,Tue Nov 28 12:49:53 +0000 2017,@AzureSupport Why might one of my @118056 AD members not be able to login to an Azure AD joined Win10 computer? (they have done it before),2888672,,identity_security_network,escalate,"Authentication/login failure, security scam concern, or IP block",random
466452,226006,True,Fri Dec 01 04:39:46 +0000 2017,@AzureSupport We look forward to!,466450,466453.0,other,escalate,Polite closing or courtesy message,random
33096,123323,True,Wed Nov 01 17:19:51 +0000 2017,@AzureSupport Done: https://t.co/undmq5SNx6,"33098,33099",33095.0,other,auto_handle,Customer follow-up or link submission,random
1690222,513130,True,Mon Nov 06 23:48:42 +0000 2017,@AzureSupport it'll be there in the morning!,1690223,1690220.0,other,auto_handle,General technical assistance request,random
689956,284893,True,Mon Oct 16 19:58:09 +0000 2017,@AzureSupport #azhelp still haven't received a response to the issue I asked about and it's been over 5 days now. Please help: https://t.co/hOkf9KrYnU,689957,689955.0,other,escalate,"Customer frustration, escalation request, or general incident impact",random
555155,249610,True,Sat Dec 02 20:01:42 +0000 2017,@AzureSupport FWIW other tools installed (eg. Tensorflow) seem to work properly.,555154,555156.0,other,auto_handle,General technical assistance request,random
394366,209448,True,Mon Oct 09 17:41:07 +0000 2017,"@AzureSupport Got an unresponsive VM, tried rebooting, status is ""running"", but still unresponsive and 0% cpu usage. seems stuck in boot",394365,,compute_containers,escalate,"Compute provisioning failure, hung VM, or service error",random
420857,215311,True,Tue Oct 10 07:37:17 +0000 2017,@azuresupport #azTechHelp,420856,,other,auto_handle,Generic hashtag or handle mention with no issue details,short
2127663,626413,True,Wed Nov 08 17:19:11 +0000 2017,"@azuresupport #AHD:RA1B-FU0 @118056 why no announcements, this is a big issue!! Shame on you guys!",2127662,,other,escalate,"Customer frustration, escalation request, or general incident impact",random
2104509,184126,True,Wed Nov 08 14:26:38 +0000 2017,@AzureSupport Thanks :),2104510,2104508.0,other,auto_handle,Polite closing or courtesy message,short
2620890,740558,True,Fri Nov 17 14:36:58 +0000 2017,@azuresupport #azTechHelp,"2620889,2620891",,other,auto_handle,Generic hashtag or handle mention with no issue details,short
2401483,382426,True,Fri Oct 20 13:28:37 +0000 2017,"@AzureSupport I did as I always do, I just saw here, some people can connect, some do not",2401484,2401482.0,other,auto_handle,General technical assistance request,random
1826026,230383,True,Tue Nov 21 17:27:56 +0000 2017,"@AzureSupport That's what I said. 🤔 can do. I'll be doing some more investigating myself-- hate those ""unable to repro."" bugs. 🕷","1826024,1826028",1826029.0,other,auto_handle,General technical assistance request,negative
2412122,161658,True,Tue Nov 14 16:03:07 +0000 2017,"@azuresupport #azhelp:I've been getting 'Resource temporarily unavailable"" when trying to connect via FTP for my app service for over 24 hours. No mention of service outage on the dashboard. What to do?",2412121,,compute_containers,auto_handle,"Compute/container query, webjob/logic app config, or feature question",random
2113287,623137,True,Wed Nov 08 15:04:29 +0000 2017,@azuresupport #AHD:PT41-JL8 This issue is killing me. I cant work around it in any reasonable way. Please help. My CSP partner is hiding behind your status report.,"2113286,2113288",,other,escalate,"Customer frustration, escalation request, or general incident impact",random
609152,264807,True,Wed Nov 22 12:57:49 +0000 2017,@AzureSupport Works when I am tethered and not on hotel WiFi. Argg. It was an SSL issue. I hate it when hotels proxy things,609154,609151.0,identity_security_network,auto_handle,"Identity/network configuration, certificate, or enrollment question",negative
1356006,290047,True,Fri Oct 27 19:13:40 +0000 2017,@AzureSupport I am trying to delete a backup management server from a recovery service vault. It succeeds but is still showing on d-board,1356004,,database_storage,auto_handle,"Storage/database configuration, backup, or tools guidance",random
2399718,690514,True,Fri Oct 20 11:11:35 +0000 2017,@AzureSupport Are you going to introduce free App Service plan for Linux?,"2399717,2399719",,compute_containers,auto_handle,"Compute/container query, webjob/logic app config, or feature question",random
194083,161628,True,Wed Oct 04 22:27:25 +0000 2017,@AzureSupport How can i conect a VPN MultiSIte?,194082,194084.0,identity_security_network,auto_handle,"Identity/network configuration, certificate, or enrollment question",random
185577,513138,True,Mon Nov 06 20:13:52 +0000 2017,@AzureSupport We are also hitting problems for all our resources in North Central US.,"1690243,1690244",185569.0,other,escalate,Regional infrastructure or outage issue,complex
1320979,428432,True,Fri Oct 27 08:58:45 +0000 2017,@AzureSupport is that the correct one? (I could not see it a moment ago) https://t.co/XbDvLPHpml,1320978,1320980.0,other,auto_handle,Customer follow-up or link submission,random
1101409,379868,True,Sun Oct 15 08:25:39 +0000 2017,@AzureSupport Finally received support through channels.  Thank you,1101411,1101408.0,other,auto_handle,General technical assistance request,random
609159,264808,True,Wed Nov 22 12:20:15 +0000 2017,@azuresupport #azTechHelp,609158,,other,auto_handle,Generic hashtag or handle mention with no issue details,random
384949,207139,True,Mon Oct 09 11:53:06 +0000 2017,@AzureSupport  https://t.co/KJsif9JazU,,384947.0,other,auto_handle,Customer follow-up or link submission,random
2749034,492136,True,Mon Nov 20 23:11:46 +0000 2017,@AzureSupport Thanks!,2749033,2749035.0,other,auto_handle,Polite closing or courtesy message,short
607096,264270,True,Mon Nov 20 18:40:15 +0000 2017,@azuresupport #azTechHelp,"607095,607097",,other,auto_handle,Generic hashtag or handle mention with no issue details,short
52795,127882,True,Wed Nov 01 18:43:17 +0000 2017,"@AzureSupport Yeah. I tried to follow the instructions exactly from https://t.co/GVrzf6ST6I, which is what it said to do before the tutorial I sent you.","52796,52797",52794.0,other,auto_handle,Customer follow-up or link submission,random
233282,171526,True,Thu Oct 05 11:03:46 +0000 2017,@azuresupport #azTechHelp,233281,,other,auto_handle,Generic hashtag or handle mention with no issue details,short
899321,333528,True,Thu Oct 19 18:59:39 +0000 2017,@azuresupport #azhelp:,"899320,899322",,other,auto_handle,Generic hashtag or handle mention with no issue details,short
2875931,119523,True,Tue Nov 28 05:36:45 +0000 2017,@AzureSupport and this https://t.co/S2qyVrlGvO,2875929,2875934.0,other,auto_handle,Customer follow-up or link submission,random
845369,320937,True,Fri Oct 20 13:46:45 +0000 2017,@azuresupport #azTechHelp,845368,,other,auto_handle,Generic hashtag or handle mention with no issue details,random
650983,274817,True,Wed Nov 22 21:25:56 +0000 2017,@AzureSupport done,650982,650984.0,other,auto_handle,Short conversational acknowledgment,short
2578148,23873,True,Thu Nov 16 21:33:21 +0000 2017,@AzureSupport I tried that and the reply was 'read the document you're already reading'. But hey: give it a shot: https://t.co/HMtuOPiIi2,,2578147.0,other,auto_handle,Customer follow-up or link submission,random
2627392,742098,True,Fri Nov 17 16:26:20 +0000 2017,"@AzureSupport I'm trying connect to an Azure Database for MySQL using WordPress, and I cannot get it to connect. I'm using the correct username and password, and I specifically allowed the server to receive connections from the App Service that the site is hosted on. Any ideas?",2627391,,identity_security_network,auto_handle,"Identity/network configuration, certificate, or enrollment question",random
1393375,444058,True,Mon Oct 16 16:19:43 +0000 2017,@AzureSupport Via PowerShell. Same ARM Template and inputs. Did switch from Mac to Windows though. Restarting seemed to get it to go.,1393376,1393374.0,portal_tools,auto_handle,"Portal navigation, CLI/PowerShell, or deployment guidance",random
185596,516421,True,Mon Nov 06 20:31:51 +0000 2017,@AzureSupport ETA?,1703559,185569.0,other,auto_handle,General technical assistance request,short
1064422,371301,True,Mon Oct 23 13:35:09 +0000 2017,@azuresupport #azhel?p: which location on azure host the manageengine service desk plus?,1064421,,other,auto_handle,General technical assistance request,complex
2267601,659964,True,Sat Nov 11 08:28:44 +0000 2017,@659965 @AzureSupport Also having issues: https://t.co/wEzrZwIaIc,"2267600,2267602,2267603,2267604",2267605.0,other,escalate,Ongoing support ticket / customer issue follow-up,complex
2722489,763782,True,Mon Nov 20 10:29:35 +0000 2017,@AzureSupport I created a support ticket instead of forum,2722488,2722490.0,other,auto_handle,Customer follow-up or link submission,random
2537270,721726,True,Thu Nov 16 08:50:12 +0000 2017,@AzureSupport can you confirm this is legit? the whole thing and especially giving only &lt;36h notice sure makes me think it's a scam. https://t.co/dCpFb80TmJ,2537268,,identity_security_network,escalate,"Authentication/login failure, security scam concern, or IP block",negative
246239,174496,True,Thu Oct 05 15:15:48 +0000 2017,"@azuresupport #azTechHelp Bad Request error for creating Automation svc. Tried multiple times, can you help check?",246237,,compute_containers,escalate,"Compute provisioning failure, hung VM, or service error",complex
2387853,688065,True,Sat Nov 11 18:57:36 +0000 2017,"@azuresupport #azTechHelp
Je viens de créer mon accès AZUR et ma première VM.
Le problème est que Windows 2016 est en anglais .",2387852,,compute_containers,auto_handle,"Compute/container query, webjob/logic app config, or feature question",random
1626015,128664,True,Sun Nov 05 17:46:45 +0000 2017,@AzureSupport Ok thnx. Done,1626014,1626016.0,other,auto_handle,Short conversational acknowledgment,random
2386830,416197,True,Fri Oct 20 12:13:23 +0000 2017,@AzureSupport Thanx,,2386828.0,other,auto_handle,Polite closing or courtesy message,short
