customer_tweet_id,customer_text,company_tweet_id,company_text,is_resolved
1618,@azuresupport #azhelp: why i can't use %env-variable% syntax in my function.json? Trying to deploy Function App but that syntax not working.,1617,@116050 Can you post this question to our forum here: https://t.co/923oV1HGoY and send us the link? We'd like to engage an engineer. ^TW,True
1624,"@AzureSupport Thanks for your help:) I've actually decided to use Azure Blob Storage instead, so I don't have to set up a service principal as a non-admin",1623,@116052 Excellent! Let us know if you run into any trouble. We're here to help! ^TW,True
1626,@azuresupport #azTechHelp Is there an easy way to transfer files from Azure File Store to Azure Data Lake?,1625,@116052 Hello! We have some documentation that may help: https://t.co/WvN5SLVlHj Let us know if we can assist further! ^MH,True
1619,"@AzureSupport Basically followed this doc - https://t.co/s8jIH5HUE9

it used to work fine before",3542,@116050 We'd like an engineer to take a look at this. Can you post to our forums using the link above and then send us the link? ^TW,True
3543,"@AzureSupport i already have service request. Service Request __credit_card__
could you please just follow this request? Thanks",3544,"@116050 Hey, looks like the engineer sent an email can you please confirm your email address? ^DO",True
5771,@AzureSupport How do I change default document (i.e. index.php) in WebApp?,5770,"@117082 Unless you were looking how to configure, then this should help! https://t.co/RVpnx5Blhz ^DO",True
5771,@AzureSupport How do I change default document (i.e. index.php) in WebApp?,5772,@117082 This might help! https://t.co/8gZuvsbjgn ^DO,True
5775,thanks @AzureSupport i just did:  support 'REST Guidance or iOS(Swift) QuickStart for Cosmos DB' - what do you think? https://t.co/1q5Afh6uZM https://t.co/G4uUlUpoqg,5774,@117083 Looks good! The dev team constantly monitors the feedback forums for ways to improve the platform. ^NA,True
5944,"@azuresupport #azcommunity HI, I'm unable to activate my student account, can you help me?",5943,@117131 Sorry to hear you're having an issue. Could you provide us with more information and we will look into it.  ^DO,True
10944,"@AzureSupport I am based in Hyderabad, India. Trying to access our corporate subscription. Just stepped out, don't have the subscription id handy",10943,"@118055 If you would like to get back in touch when you are available, feel free to contact us. ^SB",True
10946,@118056 Azure portal times out... for over an hour now. Unable to access the services for configuration update,10945,"@118055 Hi there. Would you be able to confirm the region affected and your Sub ID please? ^SB
 https://t.co/EYpi1mphGM",True
12422,"@AzureSupport Thanks. If it helps, the specific use case is a corporate directory, then a separate directory for external customers.",12421,"@118479 In this case, we'd recommend filing a free billing support case here: https://t.co/heO4tfFVts. Feel free to keep us updated. ^MM",True
12424,@AzureSupport hi! Azure AD has a limit under which it’s free. What happens if an org has two directories each under limit but together over?,12423,@118479 Great question! We are looking into this and will have a response soon. ^MM,True
13514,@AzureSupport Do you guys have the option to reserve a block of sequential static IP addresses?,13513,@118815 This might help! https://t.co/wjoFfDr01D ^DO,True
16053,"@AzureSupport Since I'm running there some processes of importance, I want to know how does azure handle update? Will it stop my job in the middle of smth",16056,"@119523 The Local Development section is the closest info we found: https://t.co/XPQQH7tEzJ
If that doesn't help, let us know. ^MM",True
16057,"@AzureSupport Not exactly, but thanks.",16058,@119523 Can you post on  https://t.co/U1BAxPBmjn  and send us the link? We'd like to connect you with an engineer to discuss. ^MM,True
16059,"@AzureSupport wondering, what is going on when I deploy a new version of singleton webjob to production? Any docs on that?",16055,@119523 We will look into this and get an answer to you shortly. ^MM,True
16061,@azuresupport #azTechHelp Why does my guest user can´t access to text analysis appy? He is only getting a mail from Azure Active Directory,16060,"@119524 Could you direct message us with more information on the issue you are experiencing? ^MM
 https://t.co/EYpi1mphGM",True
16693,"@AzureSupport Thanks for checking.  Unfortunately, the issue is still not resolved.  I reset the SSH configuration and restarted the VM as well",16695,@119687 Could you post this on https://t.co/BhIYB8fAnp and send us the link? We'll have an engineer take a look. ^DO,True
16696,@AzureSupport Done.  Thanks,16697,"@119687 If you send us on the URL details, we will get this to the relevant department to respond to you. ^BG",True
16698,@AzureSupport Url for the VM on Azure Portal?,16699,@119687 The URL or the forum post we advised you to create. ^PC,True
16700,@AzureSupport https://t.co/V3f0DNQGJL,16701,@119687 We have flagged your post with our engineers please monitor for updates. ^PC,True
16705,@azuresupport #azhelp: How do I create a custom attribute that I can then use for my Exchange Online users?,16704,@119688 Are you still seeing this issue? Please let us know if there is anything we can do to help. ^DO,True
16708,@AzureSupport here you go https://t.co/NawaimRCTb,16707,@119689 Are you still seeing this issue? Please let us know if there is anything we can do to help. ^DO,True
16711,@AzureSupport No. The system my Logic App Connector targets uses Basic Auth.,16710,@119689 Could you post this on https://t.co/Cl06MvKKJT and send us the link? We'll have an engineer take a look.   ^SN,True
16713,@AzureSupport Maybe.. how can I specify the username and password (for basic auth) required by my Connector?,16712,"@119689 Just to confirm, would you be referring to this? https://t.co/WhU4zHxb5e ^SN",True
16715,@AzureSupport same problem on IE and chrome,16714,@119689 Would these additional options work: https://t.co/4MObTh2kOt? ^JI,True
16719,@AzureSupport trying to edit API connection in Logic App but all I get is TemplateBladeVirtualPart what to do?,16718,"@119689 Hi, are you able to direct message us a few more details about this? https://t.co/SS2AcJOEWS ^JI",True
16721,@azuresupport #azTechHelp,16720,"@119689 Hi, could you please provide us with more information on your issue? ^JI",True
17470,@azuresupport Is there any problem with OCR Computer Vision API in westcentralus? It failed to recognize picture but demo page works fine.,17469,@119868 Status for Computer Vision APi in West Central US looks good currently: https://t.co/88WEhh7yJT ^MM,True
17472,"@azuresupport #azhelp: Is it possible to send Console.WriteLine(""Some Text"") to Azure App Insights by making changes in app.config",17471,@119869 Are you still seeing this issue? Let us know. We're here to help. ^DO,True
17475,@azuresupport #azTechHelp,17474,@119870 Are you still seeing this issue? Let us know. We're here to help. ^DO,True
17478,"@azuresupport #azTechHelp
unable to connect MS Access database after not using it for 2 months, error 11001, no such host is known",17477,@119871 Are you still seeing this issue? Let us know. We're here to help. ^DO,True
19389,"@azuresupport #azTechHelp I have an app on azure web apps and mapped a custom domain using cname, but ended up having 500 or 502 errors.",19388,"@120306 Could you direct message us with more information and we'll take a look. ^DO
 https://t.co/EYpi1mphGM",True
20212,@AzureSupport How to delete an account?,20210,@120446 We wanted to check back in and see if the documentation provided has helped you? Let us know!  ^SB,True
20925,Mmm seems my azure website does not update itself on docker hub web hook trigger anymore. /cc @AzureSupport,20924,"@120594 Can you send us a direct message so we can send you some detailed instructions?  ^PC
 https://t.co/EYpi1mphGM",True
24873,"@AzureSupport Thank you Team for your response on the forum, it was really helpful!",24872,@121376 You're most welcome! ^AL,True
24875,@AzureSupport Thank you and here is the link: https://t.co/DW9joYCOTh with the questions posted on forum!,24874,@121376 Thank you! We've raised this internally. ^AL,True
24877,"@AzureSupport Not really: No information on temp storage IOPS? Data retrieval make sense for Cool tier not for Hot? and no info on ""Per Operation"" def?",24876,@121376 We recommend creating a post on https://t.co/P9NTd3gApd and sending us a link. We  1 ^AL,True
24880,@121377 @AzureSupport Thank you!,24879,@121376 Has the documentation we recommended helped? IOPS/Storage: https://t.co/bDlbI4aGsj and Blob Data: https://t.co/vrzoZp6FPU  ^AL,True
24884,"@AzureSupport yup saying deploying web job failed..... sharing debug info here as well
DEBUG INFO:Reference ID: bd5a3a04-07a7-4979-8d16-525bb044e695 https://t.co/knyDamr7Dk",24883,@121378 Thanks. We are looking into this and will advise with more information shortly. ^FC,True
24886,"@azuresupport #azTechHelp
Hi I was trying to deploy https://t.co/8BtLubSYS1 but couldn't get through .help me !!!",24885,"@121378 Hi there, are you seeing any particular errors when trying to deploy? ^FC",True
24888,@azuresupport #azTechHelp,24887,@121379 How can we assist you today? ^PC,True
26228,@azuresupport #azTechHelp Trying the new File Recovery for Azure Backup - but Permission Denied after mounting the drive! Any ideas Azure?,26227,@121740 We are investigating this and will have a response for you shortly.  ^AL,True
